pack,test,current_a,file
JP30 4S1P,20A run,20,JP30 4S1P 20A_temp_corrected_59C.csv
JP30 4S1P,50A run,50,JP30 4S1P 50A_temp_corrected_60C.csv
JP30 6S1P,10A run,10,JP30 6S1P 10A_temp_corrected_42C.csv
JP30 6S1P,20A run,20,JP30 6S1P 20A.csv
JP30 6S1P,30A run,30,JP30 6S1P 30A_temp_corrected_68C.csv
JP30 6S1P,40A run,40,JP30 6S1P 40A_temp_corrected_79C.csv
JP30 6S1P,50A run,50,JP30 6S1P 50A.csv
50XG 6S1P,10A run,10,50XG 6S1P 10A_temp_corrected_48C.csv
50XG 6S1P,20A run,20,50XG 6S1P 20A.csv
50XG 6S1P,30A run,30,50XG 6S1P 30A_temp_corrected_72C.csv
50XG 6S1P,40A run,40,
50XG 6S1P,50A run,50,50XG 6S1P 50A.csv
60P 6S1P,10A run,10,60P 6S1P 10A_temp_corrected_51C.csv
60P 6S1P,20A run,20,60P 6S1P 20A_temp_corrected_73C.csv
60P 6S1P,30A run,30,60P 6S1P 30A_temp_corrected_80C.csv
60P 6S1P,40A run,40,60P 6S1P 40A_temp_corrected_80C.csv
60P 6S1P,50A run,50,

LiPo 6S 1300,50A run,50,1300 LiPo 50A to 60deg_temp_corrected_60C.csv
